id,store_url,domain,platform,source
106,https://liddelton.myshopify.com,liddelton.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
107,https://syndicate.myshopify.com,syndicate.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
108,https://fairtradeproducts.myshopify.com,fairtradeproducts.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
109,https://isimple.myshopify.com,isimple.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
110,https://jordi.myshopify.com,jordi.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
111,https://rocketboymedia.myshopify.com,rocketboymedia.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
112,https://verylights.myshopify.com,verylights.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
113,https://matias.myshopify.com,matias.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
114,https://thingz.myshopify.com,thingz.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
115,https://zabada.myshopify.com,zabada.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
116,https://esther.myshopify.com,esther.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
117,https://thedeli.myshopify.com,thedeli.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
118,https://oyam.myshopify.com,oyam.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
119,https://tsunammis.myshopify.com,tsunammis.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
120,https://gopoints.myshopify.com,gopoints.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
121,https://alexisamien.myshopify.com,alexisamien.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
122,https://alanastardust.myshopify.com,alanastardust.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
123,https://roserouge.myshopify.com,roserouge.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
124,https://malungo.myshopify.com,malungo.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
125,https://baileys.myshopify.com,baileys.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
126,https://felt.myshopify.com,felt.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
127,https://jeep.myshopify.com,jeep.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
128,https://disquesreso.myshopify.com,disquesreso.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
129,https://blossom.myshopify.com,blossom.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
130,https://sanctus.myshopify.com,sanctus.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
131,https://ctran.myshopify.com,ctran.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
132,https://loveu.myshopify.com,loveu.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
133,https://seedandbean.myshopify.com,seedandbean.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
134,https://chaussures.myshopify.com,chaussures.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
135,https://siglerdesign.myshopify.com,siglerdesign.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
136,https://theprogressbar.myshopify.com,theprogressbar.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
137,https://specialtingle.myshopify.com,specialtingle.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
138,https://brokekid.myshopify.com,brokekid.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
139,https://secondstar.myshopify.com,secondstar.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
140,https://cherryontop.myshopify.com,cherryontop.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
141,https://freshkarma.myshopify.com,freshkarma.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
142,https://groovysoup.myshopify.com,groovysoup.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
143,https://llama.myshopify.com,llama.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
144,https://shirtshop.myshopify.com,shirtshop.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
145,https://felipemesquita.myshopify.com,felipemesquita.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
146,https://efficiency.myshopify.com,efficiency.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
147,https://terramater.myshopify.com,terramater.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
148,https://etruta.myshopify.com,etruta.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
149,https://pete.myshopify.com,pete.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
150,https://blackpoppy.myshopify.com,blackpoppy.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
151,https://flornet.myshopify.com,flornet.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
152,https://df1photography.myshopify.com,df1photography.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
153,https://crackunit.myshopify.com,crackunit.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
154,https://hodgeandpodge.myshopify.com,hodgeandpodge.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
155,https://buying.myshopify.com,buying.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
156,https://emc2.myshopify.com,emc2.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
157,https://parutionsislamiques.myshopify.com,parutionsislamiques.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
158,https://movingpictures.myshopify.com,movingpictures.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
